Drop all tables,2023-05-28 15:23:26.9812389
Create tables,2023-05-28 15:23:27.5488121
Add rows,2023-05-28 15:23:27.7866574
Show table medicine,2023-05-28 15:23:33.278301
Delete all rows,2023-05-28 15:23:36.4672782
Show table medicine,2023-05-28 15:23:40.5531449
Delete all rows,2023-05-28 15:23:44.6372985
Drop all tables,2023-05-28 15:23:44.646334
